,Yan vs TB t,Yan vs TB real p,Yan vs TB p_lessthan_alpha
eL-65.0 gnaps4.2,0.8174,0.4238319232601757,False
eL-50.0 gnaps2.4,3.141,0.0053796646104182526,False
eL-50.0 gnaps3.0,2.45,0.024148778226049196,False
eL-65.0 gnaps2.4,0.02026,0.9840472169989007,False
eL-50.0 gnaps3.6,1.984,0.061892862900183504,False
eL-55.0 gnaps1.8,1.581,0.13038207185910747,False
eL-55.0 gnaps3.6,1.532,0.1420040548370729,False
eL-60.0 gnaps3.0,0.7069,0.48820847738801376,False
eL-60.0 gnaps4.2,0.6461,0.5259422584139328,False
eL-55.0 gnaps4.2,1.368,0.18727480363469054,False
eL-60.0 gnaps2.4,0.4066,0.6888453261486809,False
eL-60.0 gnaps3.6,0.8242,0.4200526371990009,False
eL-65.0 gnaps3.0,0.01639,0.9870941451500228,False
eL-65.0 gnaps1.8,0.6833,0.502665429302794,False
eL-60.0 gnaps1.8,0.04075,0.9679203663883169,False
eL-50.0 gnaps1.8,4.133,0.0005654950016393159,False
eL-50.0 gnaps4.2,1.671,0.11111193294435619,False
eL-55.0 gnaps3.0,1.497,0.15082159524752764,False
eL-55.0 gnaps2.4,1.628,0.11999409364828953,False
eL-65.0 gnaps3.6,1.074,0.2962737857198294,False
