,,Peaks Amplitude,Intervals
eL=-50.0 gnaps=1.8,count,5314.0,5313.0
eL=-50.0 gnaps=1.8,mean,5.343908166022992,0.05645548654244306
eL=-50.0 gnaps=1.8,std,0.2331699984198978,0.14013856748005799
eL=-50.0 gnaps=1.8,min,4.6063389056565365,0.010699999999999932
eL=-50.0 gnaps=1.8,25%,5.135097209743759,0.012400000000013733
eL=-50.0 gnaps=1.8,50%,5.443647178992048,0.027799999999984948
eL=-50.0 gnaps=1.8,75%,5.526608007392217,0.06340000000000146
eL=-50.0 gnaps=1.8,max,5.846384633380243,1.169700000000006
eL=-50.0 gnaps=2.4,count,6695.0,6694.0
eL=-50.0 gnaps=2.4,mean,5.3690236264481825,0.04481003884075291
eL=-50.0 gnaps=2.4,std,0.2420201391700955,0.06885766970377531
eL=-50.0 gnaps=2.4,min,4.545917394198273,0.010399999999999965
eL=-50.0 gnaps=2.4,25%,5.223335218538962,0.01290000000000191
eL=-50.0 gnaps=2.4,50%,5.474819184791837,0.03900000000000148
eL=-50.0 gnaps=2.4,75%,5.545426997458693,0.05320000000000391
eL=-50.0 gnaps=2.4,max,5.9718165053808026,0.6321000000000367
eL=-50.0 gnaps=3.0,count,7969.0,7968.0
eL=-50.0 gnaps=3.0,mean,5.3869069335470705,0.03764583333333333
eL=-50.0 gnaps=3.0,std,0.251932683193073,0.027329083322327034
eL=-50.0 gnaps=3.0,min,4.38821737257534,0.010099999999999998
eL=-50.0 gnaps=3.0,25%,5.302277584960631,0.013399999999990087
eL=-50.0 gnaps=3.0,50%,5.497588780948617,0.037700000000000955
eL=-50.0 gnaps=3.0,75%,5.560723645024214,0.04650000000000887
eL=-50.0 gnaps=3.0,max,6.105462872113893,0.17600000000000193
eL=-50.0 gnaps=3.6,count,9106.0,9105.0
eL=-50.0 gnaps=3.6,mean,5.402220415618829,0.03294394288852279
eL=-50.0 gnaps=3.6,std,0.2662873647771653,0.017814493925184815
eL=-50.0 gnaps=3.6,min,4.239089556616047,0.0098
eL=-50.0 gnaps=3.6,25%,5.386655060986594,0.0141999999999598
eL=-50.0 gnaps=3.6,50%,5.519331409601497,0.034300000000001774
eL=-50.0 gnaps=3.6,75%,5.577805210056448,0.04099999999999682
eL=-50.0 gnaps=3.6,max,6.1098316424036785,0.08800000000002228
eL=-50.0 gnaps=4.2,count,10103.0,10102.0
eL=-50.0 gnaps=4.2,mean,5.414091242528573,0.029694812908334988
eL=-50.0 gnaps=4.2,std,0.2859784884151424,0.013461048053225955
eL=-50.0 gnaps=4.2,min,3.5548880677657606,0.008999999999999998
eL=-50.0 gnaps=4.2,25%,5.426412011406603,0.015225000000029354
eL=-50.0 gnaps=4.2,50%,5.53596651048733,0.03140000000000498
eL=-50.0 gnaps=4.2,75%,5.595341133404057,0.03669999999999618
eL=-50.0 gnaps=4.2,max,6.399234468851078,0.06310000000001992
eL=-55.0 gnaps=1.8,count,2755.0,2754.0
eL=-55.0 gnaps=1.8,mean,5.355536243643668,0.10855675381263617
eL=-55.0 gnaps=1.8,std,0.23636694932654825,0.5243570327262529
eL=-55.0 gnaps=1.8,min,4.909441271173309,0.011399999999980537
eL=-55.0 gnaps=1.8,25%,5.136100102858977,0.011899999999997135
eL=-55.0 gnaps=1.8,50%,5.355327166589008,0.013049999999992679
eL=-55.0 gnaps=1.8,75%,5.582872122115603,0.016999999999995907
eL=-55.0 gnaps=1.8,max,5.771088934653347,3.138900000000035
eL=-55.0 gnaps=2.4,count,3501.0,3500.0
eL=-55.0 gnaps=2.4,mean,5.400455828753021,0.0856668
eL=-55.0 gnaps=2.4,std,0.2503507738716034,0.35006684979606256
eL=-55.0 gnaps=2.4,min,4.880732749571223,0.011200000000000099
eL=-55.0 gnaps=2.4,25%,5.163795415094105,0.012000000000000455
eL=-55.0 gnaps=2.4,50%,5.481755168918935,0.014300000000034174
eL=-55.0 gnaps=2.4,75%,5.631194983273669,0.05009999999998627
eL=-55.0 gnaps=2.4,max,5.787769126509633,2.3655000000000257
eL=-55.0 gnaps=3.0,count,4280.0,4279.0
eL=-55.0 gnaps=3.0,mean,5.43418155146728,0.07007917737789203
eL=-55.0 gnaps=3.0,std,0.2548818473744875,0.23526906467800002
eL=-55.0 gnaps=3.0,min,4.859640781636903,0.010999999999999899
eL=-55.0 gnaps=3.0,25%,5.196562367146181,0.012199999999999989
eL=-55.0 gnaps=3.0,50%,5.542419573174163,0.017799999999994043
eL=-55.0 gnaps=3.0,75%,5.6498967360713195,0.07619999999997162
eL=-55.0 gnaps=3.0,max,5.829851278917299,1.7942
eL=-55.0 gnaps=3.6,count,4985.0,4984.0
eL=-55.0 gnaps=3.6,mean,5.458374377648511,0.060168459069020866
eL=-55.0 gnaps=3.6,std,0.2566593287536237,0.17479299046789604
eL=-55.0 gnaps=3.6,min,4.779347248708554,0.010699999999999932
eL=-55.0 gnaps=3.6,25%,5.2493608845227095,0.012300000000010414
eL=-55.0 gnaps=3.6,50%,5.5715309678715865,0.025550000000000017
eL=-55.0 gnaps=3.6,75%,5.666623957212727,0.0706000000000011
eL=-55.0 gnaps=3.6,max,6.054578481718976,1.436300000000017
eL=-55.0 gnaps=4.2,count,5712.0,5711.0
eL=-55.0 gnaps=4.2,mean,5.4739832417767245,0.05251278234985117
eL=-55.0 gnaps=4.2,std,0.26306627304204705,0.1333607398877686
eL=-55.0 gnaps=4.2,min,4.662393958081583,0.010499999999999954
eL=-55.0 gnaps=4.2,25%,5.284121069935052,0.012600000000006162
eL=-55.0 gnaps=4.2,50%,5.595188018160254,0.037399999999990996
eL=-55.0 gnaps=4.2,75%,5.677453661951402,0.061399999999991905
eL=-55.0 gnaps=4.2,max,6.241590989167256,1.1613000000000007
eL=-60.0 gnaps=1.8,count,2335.0,2334.0
eL=-60.0 gnaps=1.8,mean,5.333117304861308,0.1279715081405313
eL=-60.0 gnaps=1.8,std,0.293972968147375,0.6066686041678953
eL=-60.0 gnaps=1.8,min,4.820711008099258,0.010799999999960619
eL=-60.0 gnaps=1.8,25%,5.07088825082451,0.01120000000000232
eL=-60.0 gnaps=1.8,50%,5.319746481892167,0.012100000000003774
eL=-60.0 gnaps=1.8,75%,5.583948699154997,0.014300000000000312
eL=-60.0 gnaps=1.8,max,6.035593291946699,3.4203
eL=-60.0 gnaps=2.4,count,2984.0,2983.0
eL=-60.0 gnaps=2.4,mean,5.260751201309448,0.10013084143479718
eL=-60.0 gnaps=2.4,std,0.413319668761372,0.5247125533496592
eL=-60.0 gnaps=2.4,min,4.551359585024324,0.010099999999965803
eL=-60.0 gnaps=2.4,25%,4.886541182714216,0.010699999999999932
eL=-60.0 gnaps=2.4,50%,5.251846729423716,0.011899999999997135
eL=-60.0 gnaps=2.4,75%,5.659477469569171,0.014500000000006175
eL=-60.0 gnaps=2.4,max,5.974168228075775,3.2830000000000004
eL=-60.0 gnaps=3.0,count,4035.0,4034.0
eL=-60.0 gnaps=3.0,mean,5.514886661599504,0.07405622211204761
eL=-60.0 gnaps=3.0,std,0.3649548737801421,0.39932571514529575
eL=-60.0 gnaps=3.0,min,4.615040631439187,0.010199999999999987
eL=-60.0 gnaps=3.0,25%,5.177538567331447,0.011600000000001387
eL=-60.0 gnaps=3.0,50%,5.650380732986539,0.015399999999999636
eL=-60.0 gnaps=3.0,75%,5.8432988149101535,0.023000000000024556
eL=-60.0 gnaps=3.0,max,5.9984074571888994,2.9102000000000006
eL=-60.0 gnaps=3.6,count,4692.0,4691.0
eL=-60.0 gnaps=3.6,mean,5.584085281000402,0.06378767853336176
eL=-60.0 gnaps=3.6,std,0.32509984329075153,0.30442419530686843
eL=-60.0 gnaps=3.6,min,4.829877141374046,0.010699999999999932
eL=-60.0 gnaps=3.6,25%,5.312593909014771,0.012100000000003774
eL=-60.0 gnaps=3.6,50%,5.735257006045126,0.01830000000001064
eL=-60.0 gnaps=3.6,75%,5.8475740833435506,0.029899999999997817
eL=-60.0 gnaps=3.6,max,6.020234007848184,2.3785
eL=-60.0 gnaps=4.2,count,5184.0,5183.0
eL=-60.0 gnaps=4.2,mean,5.504330408644204,0.05783795099363303
eL=-60.0 gnaps=4.2,std,0.4388963840217823,0.23954229835799806
eL=-60.0 gnaps=4.2,min,4.530875728683796,0.010099999999965803
eL=-60.0 gnaps=4.2,25%,5.125700099041793,0.011399999999994748
eL=-60.0 gnaps=4.2,50%,5.741287917697806,0.016799999999989268
eL=-60.0 gnaps=4.2,75%,5.8635018137284955,0.02189999999998804
eL=-60.0 gnaps=4.2,max,6.039689433726449,1.9808000000000001
eL=-65.0 gnaps=1.8,count,2003.0,2002.0
eL=-65.0 gnaps=1.8,mean,5.415232742521958,0.14915879120879122
eL=-65.0 gnaps=1.8,std,0.34574041299306796,0.6655501291022063
eL=-65.0 gnaps=1.8,min,4.803550094205352,0.010499999999979082
eL=-65.0 gnaps=1.8,25%,5.104082382139854,0.011000000000024102
eL=-65.0 gnaps=1.8,50%,5.405127761059692,0.012199999999992883
eL=-65.0 gnaps=1.8,75%,5.703868139786518,0.014499999999998181
eL=-65.0 gnaps=1.8,max,6.2619541887640295,3.5334000000000003
eL=-65.0 gnaps=2.4,count,2733.0,2732.0
eL=-65.0 gnaps=2.4,mean,4.800319101386162,0.10932327964860908
eL=-65.0 gnaps=2.4,std,0.7167080012791517,0.5648760683317486
eL=-65.0 gnaps=2.4,min,3.6684662600048696,0.008999999999957708
eL=-65.0 gnaps=2.4,25%,4.1771585806519065,0.009399999999999409
eL=-65.0 gnaps=2.4,50%,4.7363746777583415,0.010199999999997544
eL=-65.0 gnaps=2.4,75%,5.399394002223778,0.012000000000000455
eL=-65.0 gnaps=2.4,max,6.46526303361327,3.4462
eL=-65.0 gnaps=3.0,count,3382.0,3381.0
eL=-65.0 gnaps=3.0,mean,4.12577368961492,0.08835300207039339
eL=-65.0 gnaps=3.0,std,1.1092462713214049,0.5010953508461775
eL=-65.0 gnaps=3.0,min,2.4255480340473667,0.008299999999962893
eL=-65.0 gnaps=3.0,25%,3.1647383880322217,0.008600000000001273
eL=-65.0 gnaps=3.0,50%,3.999411879187127,0.00929999999999609
eL=-65.0 gnaps=3.0,75%,5.030852141823351,0.010700000000014143
eL=-65.0 gnaps=3.0,max,6.574046620374852,3.3849
eL=-65.0 gnaps=3.6,count,4069.0,4068.0
eL=-65.0 gnaps=3.6,mean,3.648401272503883,0.0734460668633235
eL=-65.0 gnaps=3.6,std,1.358873072683926,0.44714071457946786
eL=-65.0 gnaps=3.6,min,1.5722555128170617,0.007999999999981355
eL=-65.0 gnaps=3.6,25%,2.4929774500581114,0.008399999999994634
eL=-65.0 gnaps=3.6,50%,3.489006762577864,0.008800000000007913
eL=-65.0 gnaps=3.6,75%,4.706439995312464,0.010199999999997544
eL=-65.0 gnaps=3.6,max,6.598282555500437,3.3193
eL=-65.0 gnaps=4.2,count,5076.0,5075.0
eL=-65.0 gnaps=4.2,mean,3.869968234444254,0.058868197044334984
eL=-65.0 gnaps=4.2,std,1.0232387073681695,0.38618726412124593
eL=-65.0 gnaps=4.2,min,2.2200208116356874,0.008199999999999541
eL=-65.0 gnaps=4.2,25%,3.0684001520824644,0.008600000000001273
eL=-65.0 gnaps=4.2,50%,3.6766846777540163,0.009000000000000341
eL=-65.0 gnaps=4.2,75%,4.500048437079263,0.009800000000012687
eL=-65.0 gnaps=4.2,max,6.661577123872348,3.1689
